bp_id;age;experience;devision;position;ans_1;ans_2;ans_3_1;yesno_3_1;com_ruk;ans_3_2;yesno_3_2;com_inst;ans_4;ans_5;ans_6;ans_7;ans_8;ans_9;ans_10;ans_11;ans_12_1;ans_12_2;ans_13;ans_14;ans_15;ans_16;ans_17;ans_18;ans_19;ans_20;ans_21;ans_22;ans_23;ans_24;ans_25;ans_26;ans_27;ans_28;ans_29;ans_30_1;ans_30_2;ans_31;ans_32;ans_33;ans_34;ans_35;ans_36;ans_37;ans_38;ans_39;ans_40;ans_41;ans_42;ans_43;ans_44;ans_45;com_nal;ans_46;ans_47;complain
4610409;33;5;2;БП;1;5;2;1;Никогда не идут на встречу когда просишь и не пытаются в нее даже вникнуть , совершенно не знают своих проводников отделения , и идёт разделение на Трансаэро и Оренбургских к каждым разное отношение ..... ;5;1;Очень хороший инструктор максимально пытается помочь чем может и разъяснить вопрос пока не поймёшь .... ;2;2;2;6;5;1;1;2;3;6;2;1;1;5;5;1;6;3;5;4;6;1;6;1;6;6;6;5;1;6;1;4;1;6;1;1;1;0;0;0;0;0;0;1;Просьба выходных игнорируется ,видна разница между проводниками кто-то часто летает загран. а кто-то на дальний восток ,некоторые не вылазиют с грузовых ....и как оказывается существуют непонятные списки по всем критериям ....как они составляются и на основании чего? ;0;1;Понимание для инспекторов и инструкторов что есть написанное на бумаге не есть сделанное в реальности в нашей работе с минимальной бригадой , и работа с людьми в живую не опирается на этапы прописанные в бумаге (заучиность фраз только раздражает людей ,их нужно понимать и вникать в суть проблемы )и очень бы хотелось наконец чтобы наши ВС наконец то по человечески починили и без страха работы на наших кормилицах мы могли работать, и чтобы пассажиры не обвиняли нас во всех технических проблемах
2564607;29;2;4;BS;4;5;5;0;0;4;0;0;2;5;5;6;5;5;3;5;5;5;3;4;4;4;5;5;3;2;2;3;5;4;6;4;6;4;3;2;3;2;3;5;1;6;4;0;1;0;0;1;0;1;0;0;0;0;0;0 
3080603;29;7;4;БП;4;5;5;0;0;6;0;0;3;6;3;5;6;4;2;5;6;6;4;2;5;2;5;6;3;3;1;2;6;2;5;2;6;4;1;2;1;4;3;5;4;6;5;0;0;0;0;1;1;0;0;1;Планирование либо ночь, либо раннее утро. ;1;0;0 
3142533;38;13;5;СБ;1;5;6;1;Наконец-то, толковый и грамотный! ;4;1;В моем случае - да, но знаю и негативные отзывы о работе других ИПБ ;1;1;3;5;6;1;1;2;5;6;6;1;1;5;5;2;6;5;5;2;6;1;6;1;5;6;5;2;2;6;1;2;6;5;1;0;1;0;0;0;1;0;0;1;После ночного рейса ставят ранний вылет! Две-три-четыре ночи подряд нет полноценного сна ;1;0;1 
245009;28;3;4;СБ;1;5;4;0;0;6;0;0;1;4;1;5;5;4;1;5;4;6;1;3;1;4;5;5;6;2;3;3;6;1;5;3;6;6;4;3;1;6;1;5;4;5;4;1;1;0;0;1;1;0;0;1;1)Неравномерное планирование. За 50%месяца можно налетать 20 часов, а за остальные 50%- 60 часов.  2)После ночного рейса, ранний рейс на следущий день с минимальным отдыхом в 12 часов. Есть коллеги, которые ездят от работы до дома только 2 часа. За такой короткий промежуток времени невозможно нормально отдохнуть.  3) Развортные рейсы более 5,5 часов (например Дубай). Особенно тяжело работать на ночном рейсе. С вылетом из базы в 00:05 и прилёт на базу 13:00. Эффективность работы  равна 0. И если произойдёт на таком рейсе аварийная ситуация  КПД каждого БП абсолютно низкий, т.к. низкая концентрация внимания и усталость.  4) Планирование 2 БП на RRJ-95 при компоновке 12/75 и полной коммерческой загрузке. (Особенно рейсы по продолжительности менее 2 часов). ;0;1;0 
4712456;31;10;4;BS;1;4;5;0;0;5;0;0;1;2;2;6;2;5;1;4;5;5;5;2;4;5;3;3;5;3;4;2;4;2;5;2;4;6;2;3;2;4;3;5;2;4;5;0;1;0;1;0;1;0;0;1;Невозможность повлиять на свой график. Неравномерное планирование ЧКЭ по налету и загруженности ( ночные рейсы/ командировки/ короткие и длинные рейсы). ;0;0;0 
948208;28;9;4;BS;2;4;3;1;Руководство сильно отделяет себя от рядовых работников. Нет культуры ответа на письма, обратной связи и вообще взаимодействия (когда направлено письмо руководству, мало кто считает нужным оставить обратную связь - что «вопрос взят в работу» / «передано ответственному сотруднику»  и пр. Вопрос может просто зависнуть непонятно на каком этапе ) т.е. руководство хочет обратной связи немедленно (вне зависимости от вопроса. Срочно всё. Прямо сейчас. А работник ее может ждать бесконечно), нет установленных сроков ответа на письма и запросы для всех сторон, работника могут дергать и в отпуске и во время послеполётного/предполётного отдыха (вне зависимости от времени суток), а работника с его запросом могут просто игнорировать - и это нормально в корпоративной культуре для авиакомпании ( это касается не только ДОБ, но и других департаментов). Всё взаимодействие между департаментами максимально затруднено.  каждый департамент - отдельная неприкасаемая планета, не желающая взаимодействовать друг с другом. Нет цели, максимально быстро разрешать возникающие вопросы и задачи, и упростить процессы взаимодействия - всё взаимодействие сводиться к бесконечному перенаправлению от одного к другому и заново по кругу, к приемным часам в кабинетах других департаментов. Создаётся необходимость подстраиваться под время приема каждого конкретного кабинета, часы которых зачастую происходят не то что в разные время, но и в разные дни.  Отсутсвие уважения ко времени друга друга. Волшебное слово «подождать» доносящееся из многих кабинетов от врачей до бухгалтеров (растягивающиеся до бесконечности). Или например, что непосредственно касается ДОБ, подписание журналов ознакомления с документами или написание заявления на отпуск - становиться просто затруднительными. Почему нельзя сделать к примеру, дополнительную возможность, написать заявление и направить его в электронном виде в ОКЭ или положить журналы ознакомления на старте - а нужно создавать дополнительную рабочую задачу в свободное от работы человека время (учитывая, нестандартный график работы бортпроводников).  Лояльность сводиться к тому, что руководство компании хочет лояльности от работников, но само крайне редко изъявляет желание проявлять ее к сотрудникам. ;3;0;0;2;2;2;5;5;3;2;4;5;5;2;2;2;5;5;5;5;4;3;2;5;2;5;4;4;4;4;3;3;5;2;4;4;4;3;0;1;0;0;0;0;0;0;0;0;0;0;0 
195279;38;17;4;СБ;1;1;4;0;0;4;0;0;1;5;1;4;5;3;1;2;4;5;2;1;2;2;4;4;6;6;4;6;6;1;5;3;6;5;6;3;3;6;1;1;4;3;2;0;1;0;0;1;1;0;0;1;Не рациональное планирование, по 5-6 рейсов подряд ;0;0;0
1086868;32;8;4;BS;3;4;4;0;0;5;0;0;2;4;2;4;5;5;2;4;4;5;2;5;2;5;2;5;4;3;4;3;4;3;4;4;4;4;4;4;2;4;4;3;4;4;4;0;1;0;0;1;1;0;0;1;Нет сдвоенных выходных ;1;0;0 
1816982;22;0;5;BS;5;5;6;0;0;6;0;0;5;5;4;6;6;6;4;5;6;6;2;5;5;3;5;5;2;3;2;2;3;5;6;6;6;2;2;6;1;1;5;5;1;6;5;0;0;0;0;0;1;1;0;1;Налёт 55 часов в месяц маловат, хотелось бы часов 70-75) ;1;0;0
